# x  T_analytical
0.005000 397.386349
0.015000 392.170254
0.025000 386.987634
0.035000 381.860327
0.045000 376.809470
0.055000 371.855233
0.065000 367.016580
0.075000 362.311054
0.085000 357.754593
0.095000 353.361370
0.105000 349.143680
0.115000 345.111851
0.125000 341.274201
0.135000 337.637022
0.145000 334.204606
0.155000 330.979298
0.165000 327.961584
0.175000 325.150192
0.185000 322.542236
0.195000 320.133356
0.205000 317.917885
0.215000 315.889021
0.225000 314.039004
0.235000 312.359294
0.245000 310.840744
0.255000 309.473772
0.265000 308.248518
0.275000 307.154993
0.285000 306.183215
0.295000 305.323328
0.305000 304.565707
0.315000 303.901050
0.325000 303.320446
0.335000 302.815437
0.345000 302.378064
0.355000 302.000889
0.365000 301.677021
0.375000 301.400117
0.385000 301.164379
0.395000 300.964549
0.405000 300.795881
0.415000 300.654126
0.425000 300.535501
0.435000 300.436655
0.445000 300.354645
0.455000 300.286893
0.465000 300.231161
0.475000 300.185513
0.485000 300.148284
0.495000 300.118051
0.505000 300.093605
0.515000 300.073923
0.525000 300.058144
0.535000 300.045549
0.545000 300.035538
0.555000 300.027615
0.565000 300.021371
0.575000 300.016472
0.585000 300.012644
0.595000 300.009667
0.605000 300.007360
0.615000 300.005581
0.625000 300.004215
0.635000 300.003170
0.645000 300.002374
0.655000 300.001771
0.665000 300.001316
0.675000 300.000973
0.685000 300.000717
0.695000 300.000526
0.705000 300.000384
0.715000 300.000280
0.725000 300.000203
0.735000 300.000146
0.745000 300.000105
0.755000 300.000075
0.765000 300.000054
0.775000 300.000038
0.785000 300.000027
0.795000 300.000019
0.805000 300.000013
0.815000 300.000009
0.825000 300.000006
0.835000 300.000004
0.845000 300.000003
0.855000 300.000002
0.865000 300.000001
0.875000 300.000001
0.885000 300.000001
0.895000 300.000000
0.905000 300.000000
0.915000 300.000000
0.925000 300.000000
0.935000 300.000000
0.945000 300.000000
0.955000 300.000000
0.965000 300.000000
0.975000 300.000000
0.985000 300.000000
0.995000 300.000000
