# x	T_numerical
2.500000e-05	7.489581e+02
7.500000e-05	7.269471e+02
1.250000e-04	7.059459e+02
1.750000e-04	6.858104e+02
2.250000e-04	6.664080e+02
2.750000e-04	6.476163e+02
3.250000e-04	6.293219e+02
3.750000e-04	6.114188e+02
4.250000e-04	5.938078e+02
4.750000e-04	5.763955e+02
5.250000e-04	5.590941e+02
5.750000e-04	5.418199e+02
6.250000e-04	5.244941e+02
6.750000e-04	5.070412e+02
7.250000e-04	4.893899e+02
7.750000e-04	4.714722e+02
8.250000e-04	4.532236e+02
8.750000e-04	4.345832e+02
9.250000e-04	4.154937e+02
9.750000e-04	3.959016e+02
