# x_norm	w_thermo
0.000000e+00	0.000000e+00
1.000000e-02	2.292675e-08
2.000000e-02	4.582749e-08
3.000000e-02	6.867667e-08
4.000000e-02	9.144914e-08
5.000000e-02	1.141202e-07
6.000000e-02	1.366657e-07
7.000000e-02	1.590618e-07
8.000000e-02	1.812850e-07
9.000000e-02	2.033126e-07
1.000000e-01	2.251221e-07
1.100000e-01	2.466915e-07
1.200000e-01	2.679991e-07
1.300000e-01	2.890240e-07
1.400000e-01	3.097455e-07
1.500000e-01	3.301435e-07
1.600000e-01	3.501982e-07
1.700000e-01	3.698905e-07
1.800000e-01	3.892016e-07
1.900000e-01	4.081133e-07
2.000000e-01	4.266077e-07
2.100000e-01	4.446678e-07
2.200000e-01	4.622766e-07
2.300000e-01	4.794179e-07
2.400000e-01	4.960760e-07
2.500000e-01	5.122356e-07
2.600000e-01	5.278819e-07
2.700000e-01	5.430009e-07
2.800000e-01	5.575788e-07
2.900000e-01	5.716024e-07
3.000000e-01	5.850592e-07
3.100000e-01	5.979372e-07
3.200000e-01	6.102248e-07
3.300000e-01	6.219111e-07
3.400000e-01	6.329858e-07
3.500000e-01	6.434389e-07
3.600000e-01	6.532613e-07
3.700000e-01	6.624442e-07
3.800000e-01	6.709797e-07
3.900000e-01	6.788601e-07
4.000000e-01	6.860786e-07
4.100000e-01	6.926288e-07
4.200000e-01	6.985049e-07
4.300000e-01	7.037019e-07
4.400000e-01	7.082152e-07
4.500000e-01	7.120408e-07
4.600000e-01	7.151754e-07
4.700000e-01	7.176163e-07
4.800000e-01	7.193613e-07
4.900000e-01	7.204089e-07
5.000000e-01	7.207582e-07
5.100000e-01	7.204089e-07
5.200000e-01	7.193613e-07
5.300000e-01	7.176163e-07
5.400000e-01	7.151754e-07
5.500000e-01	7.120408e-07
5.600000e-01	7.082152e-07
5.700000e-01	7.037019e-07
5.800000e-01	6.985049e-07
5.900000e-01	6.926288e-07
6.000000e-01	6.860786e-07
6.100000e-01	6.788601e-07
6.200000e-01	6.709797e-07
6.300000e-01	6.624442e-07
6.400000e-01	6.532613e-07
6.500000e-01	6.434389e-07
6.600000e-01	6.329858e-07
6.700000e-01	6.219111e-07
6.800000e-01	6.102248e-07
6.900000e-01	5.979372e-07
7.000000e-01	5.850592e-07
7.100000e-01	5.716024e-07
7.200000e-01	5.575788e-07
7.300000e-01	5.430009e-07
7.400000e-01	5.278819e-07
7.500000e-01	5.122356e-07
7.600000e-01	4.960760e-07
7.700000e-01	4.794179e-07
7.800000e-01	4.622766e-07
7.900000e-01	4.446678e-07
8.000000e-01	4.266077e-07
8.100000e-01	4.081133e-07
8.200000e-01	3.892016e-07
8.300000e-01	3.698905e-07
8.400000e-01	3.501982e-07
8.500000e-01	3.301435e-07
8.600000e-01	3.097455e-07
8.700000e-01	2.890240e-07
8.800000e-01	2.679991e-07
8.900000e-01	2.466915e-07
9.000000e-01	2.251221e-07
9.100000e-01	2.033126e-07
9.200000e-01	1.812850e-07
9.300000e-01	1.590618e-07
9.400000e-01	1.366657e-07
9.500000e-01	1.141202e-07
9.600000e-01	9.144914e-08
9.700000e-01	6.867667e-08
9.800000e-01	4.582749e-08
9.900000e-01	2.292675e-08
1.000000e+00	0.000000e+00
